method,region,roi,sensMEAN,sensSD,espMEAN,espSD,ppvMEAN,ppvSD,npvMEAN,npvSD
SCC,ROI 4,10,99.97861981820104,0.011422123446911242,63.56005558827916,0.9407077281828117,91.7223304211002,0.9564385081601754,99.86048604860487,0.08061125585135107
SCC,ROI 4,40,99.97861981820104,0.011422123446911242,63.56005558827916,0.9407077281828117,91.7223304211002,0.9564385081601754,99.86048604860487,0.08061125585135107
SCC,ROI 4,80,99.97861981820104,0.011422123446911242,63.56005558827916,0.9407077281828117,91.7223304211002,0.9564385081601754,99.86048604860487,0.08061125585135107
SCC,ROI 2,10,99.88314309899847,0.060793655917579306,53.242744849582664,0.24138697277980345,79.97038743869722,1.4241403046656338,99.57875787578757,0.2472279539636018
SCC,ROI 2,40,99.88314309899847,0.060793655917579306,53.242744849582664,0.24138697277980345,79.97038743869722,1.4241403046656338,99.57875787578757,0.2472279539636018
SCC,ROI 2,80,99.88314309899847,0.060793655917579306,53.242744849582664,0.24138697277980345,79.97038743869722,1.4241403046656338,99.57875787578757,0.2472279539636018
SCC,ROI 3,10,99.88815790625054,0.052996974064866094,55.43048839342751,0.27822330549924856,84.51307762345452,1.2835676148317738,99.49414941494149,0.27575740274489735
SCC,ROI 3,40,99.88815790625054,0.052996974064866094,55.43048839342751,0.27822330549924856,84.51307762345452,1.2835676148317738,99.49414941494149,0.27575740274489735
SCC,ROI 3,80,99.88815790625054,0.052996974064866094,55.43048839342751,0.27822330549924856,84.51307762345452,1.2835676148317738,99.49414941494149,0.27575740274489735
SCC,ROI 1,10,99.99728010346685,0.009215154930466728,46.79128042110373,0.11728595609321515,38.279782359699176,2.7796816957149306,99.99812481248125,0.006353056959643796
SCC,ROI 1,40,99.99728010346685,0.009215154930466728,46.79128042110373,0.11728595609321515,38.279782359699176,2.7796816957149306,99.99812481248125,0.006353056959643796
SCC,ROI 1,80,99.99728010346685,0.009215154930466728,46.79128042110373,0.11728595609321515,38.279782359699176,2.7796816957149306,99.99812481248125,0.006353056959643796
SPM,ROI 4,10,71.32894663157977,37.73738014079022,80.17043869067753,12.96389229005943,80.57252280489914,22.711355980194316,82.94835266093317,11.605828252445145
SPM,ROI 4,40,77.01480772026231,30.15400222901268,82.06813502308425,12.558123134156725,89.08704611428402,11.217767036144767,82.8485315893291,10.986545821728424
SPM,ROI 4,80,84.98001182517868,17.85611119273828,83.19290058719272,12.58183425175418,93.98440614599973,2.0314071577042543,83.23622358628373,10.28055519147931
SPM,ROI 2,10,69.37822205598766,40.33998055401451,73.710007164855,17.586999933611008,62.35727132708024,28.990742787762244,90.45136964137629,6.087428155683131
SPM,ROI 2,40,86.75285446068168,20.32933207930816,74.6121673453114,17.25632647866307,84.23362424541419,5.874981090420351,93.03314064393267,5.7032059000744955
SPM,ROI 2,80,95.19689261117982,9.254737831735204,75.1312308590793,17.44453700343449,87.68338551303027,7.412806525154037,95.45047062528919,4.362188375433223
SPM,ROI 3,10,69.45162732164653,41.31659718258304,74.84415554501837,16.567987555436545,66.07739843266101,31.32813766578987,88.88399008014034,7.514223951832957
SPM,ROI 3,40,86.5471798869447,21.777115369208918,76.17405191387115,16.297143877218968,88.04023793781732,4.552622560526335,92.1603205437748,7.3352148438365345
SPM,ROI 3,80,96.88569911429173,5.996454685329003,76.59904340861539,16.557631315996655,90.97046970623465,5.957359785002086,95.50880877390273,4.961264701373175
SPM,ROI 1,10,66.11797870298982,43.538199230427765,69.89090535514153,20.173261032046575,26.218115625996795,16.790690446919445,97.73559445441865,2.0464083731689136
SPM,ROI 1,40,66.60054886062996,43.46101108705426,70.12924302596122,20.26039746879069,26.850462236919014,16.88067617037391,97.7632702383561,2.0532197390950784
SPM,ROI 1,80,67.6683944291541,43.894876383164565,69.89893150893207,20.442612833733474,28.01971098909011,17.3075167080444,97.95679187398139,2.067381986945667
